City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,hoa binh,VN,2021-05-30 16:39:35,20.8133,105.3383,85.89,70,100,2.39,overcast clouds
1,pevek,RU,2021-05-30 16:39:35,69.7008,170.3133,37.89,70,0,5.64,clear sky
2,lebu,CL,2021-05-30 16:39:35,-37.6167,-73.65,56.82,70,100,6.06,overcast clouds
3,tasiilaq,GL,2021-05-30 16:39:36,65.6145,-37.6368,39.36,80,99,17.54,overcast clouds
4,rikitea,PF,2021-05-30 16:39:36,-23.1203,-134.9692,74.68,79,100,16.31,light rain
5,new norfolk,AU,2021-05-30 16:39:36,-42.7826,147.0587,40.5,85,44,3.24,scattered clouds
6,severo-kurilsk,RU,2021-05-30 16:39:36,50.6789,156.125,38.61,97,100,15.23,light rain
7,qaanaaq,GL,2021-05-30 16:34:40,77.484,-69.3632,32.4,91,100,5.39,overcast clouds
8,busselton,AU,2021-05-30 16:34:39,-33.65,115.3333,54.09,71,100,14.76,overcast clouds
9,pankrushikha,RU,2021-05-30 16:39:37,53.8319,80.3406,60.82,59,15,6.24,few clouds
10,nuevitas,CU,2021-05-30 16:39:37,21.5453,-77.2644,85.44,55,19,4.29,few clouds
11,havoysund,NO,2021-05-30 16:39:37,70.9963,24.6622,43.03,95,100,28.1,overcast clouds
12,kieta,PG,2021-05-30 16:39:38,-6.2167,155.6333,78.03,85,77,4.27,broken clouds
13,bandarbeyla,SO,2021-05-30 16:39:38,9.4942,50.8122,79.54,85,22,29.86,few clouds
14,guerrero negro,MX,2021-05-30 16:39:38,27.9769,-114.0611,64.92,63,26,15.75,scattered clouds
15,longyan,CN,2021-05-30 16:39:38,25.1072,117.0225,72.64,98,99,1.83,overcast clouds
16,bluff,NZ,2021-05-30 16:39:04,-46.6,168.3333,49.8,94,100,22.32,light rain
17,port alfred,ZA,2021-05-30 16:39:39,-33.5906,26.891,58.53,62,32,6.78,scattered clouds
18,chipinge,ZW,2021-05-30 16:39:39,-20.1883,32.6236,61.0,31,0,4.97,clear sky
19,albany,US,2021-05-30 16:35:40,42.6001,-73.9662,49.86,90,100,5.44,moderate rain
20,katsuura,JP,2021-05-30 16:39:39,35.1333,140.3,66.31,88,37,13.67,scattered clouds
21,castro,BR,2021-05-30 16:39:40,-24.7911,-50.0119,57.18,98,100,3.65,overcast clouds
22,saint-philippe,RE,2021-05-30 16:39:40,-21.3585,55.7679,71.19,84,37,8.43,scattered clouds
23,qaqortoq,GL,2021-05-30 16:36:32,60.7167,-46.0333,46.9,72,62,5.08,broken clouds
24,dikson,RU,2021-05-30 16:34:49,73.5069,80.5464,31.73,93,100,11.92,overcast clouds
25,arraial do cabo,BR,2021-05-30 16:39:40,-22.9661,-42.0278,78.76,78,75,11.5,broken clouds
26,tuatapere,NZ,2021-05-30 16:39:41,-46.1333,167.6833,49.82,96,100,8.32,overcast clouds
27,margate,GB,2021-05-30 16:39:41,51.3813,1.3862,62.19,64,5,5.01,clear sky
28,karratha,AU,2021-05-30 16:39:41,-20.7377,116.8463,69.46,54,70,8.63,broken clouds
29,guasdualito,VE,2021-05-30 16:39:41,7.2424,-70.7324,86.0,70,59,5.75,broken clouds
30,puerto carreno,CO,2021-05-30 16:39:42,6.189,-67.4859,81.01,80,66,6.98,broken clouds
31,thompson,CA,2021-05-30 16:39:42,55.7435,-97.8558,41.16,75,90,6.91,overcast clouds
32,talen,IN,2021-05-30 16:39:42,23.5667,76.7167,95.02,27,91,5.7,overcast clouds
33,barrow,US,2021-05-30 16:39:43,71.2906,-156.7887,30.22,93,90,10.36,overcast clouds
34,puerto ayora,EC,2021-05-30 16:36:36,-0.7393,-90.3518,80.56,81,69,7.0,broken clouds
35,boyolangu,ID,2021-05-30 16:39:43,-8.1181,111.8935,75.4,93,91,3.8,overcast clouds
36,punta arenas,CL,2021-05-30 16:39:01,-53.15,-70.9167,37.51,56,40,9.71,scattered clouds
37,kutum,SD,2021-05-30 16:39:43,14.2,24.6667,92.08,13,34,11.92,scattered clouds
38,cape town,ZA,2021-05-30 16:39:42,-33.9258,18.4232,61.21,68,0,4.5,clear sky
39,ode,NG,2021-05-30 16:39:44,7.7899,5.7117,79.63,76,76,5.12,moderate rain
40,hereford,GB,2021-05-30 16:36:37,52.0568,-2.7148,68.25,54,70,1.01,broken clouds
41,ribeira grande,PT,2021-05-30 16:39:44,38.5167,-28.7,70.2,64,20,4.61,few clouds
42,hobart,AU,2021-05-30 16:38:42,-42.8794,147.3294,40.86,90,31,1.01,scattered clouds
43,laguna,US,2021-05-30 16:39:44,38.421,-121.4238,78.6,70,1,4.09,clear sky
44,bathsheba,BB,2021-05-30 16:39:45,13.2167,-59.5167,88.41,55,75,20.71,broken clouds
45,butaritari,KI,2021-05-30 16:39:45,3.0707,172.7902,82.76,78,92,15.39,light rain
46,bredasdorp,ZA,2021-05-30 16:39:45,-34.5322,20.0403,56.52,82,88,2.28,overcast clouds
47,storsteinnes,NO,2021-05-30 16:39:45,69.2408,19.2344,47.05,93,100,3.09,overcast clouds
48,luanda,AO,2021-05-30 16:38:22,-8.8368,13.2343,78.8,78,0,10.36,clear sky
49,geraldton,AU,2021-05-30 16:39:46,-28.7667,114.6,57.61,88,90,15.68,overcast clouds
50,kapaa,US,2021-05-30 16:39:46,22.0752,-159.319,69.78,88,1,3.4,clear sky
51,ushuaia,AR,2021-05-30 16:39:46,-54.8,-68.3,31.62,100,90,9.22,snow
52,meulaboh,ID,2021-05-30 16:38:29,4.1363,96.1285,76.37,87,100,2.3,overcast clouds
53,nikolskoye,RU,2021-05-30 16:34:51,59.7035,30.7861,54.39,50,7,4.45,clear sky
54,longyearbyen,SJ,2021-05-30 16:39:47,78.2186,15.6401,33.64,80,75,2.3,broken clouds
55,blythe,US,2021-05-30 16:39:47,33.6103,-114.5964,93.04,23,1,5.1,clear sky
56,biak,ID,2021-05-30 16:39:47,-0.9131,122.8766,76.08,87,67,4.12,broken clouds
57,lasa,IT,2021-05-30 16:39:47,46.6166,10.7002,71.51,67,35,6.02,scattered clouds
58,chapais,CA,2021-05-30 16:39:48,49.7834,-74.8492,60.58,26,0,7.9,clear sky
59,port elizabeth,ZA,2021-05-30 16:39:48,-33.918,25.5701,59.09,71,0,4.61,clear sky
60,coolum beach,AU,2021-05-30 16:39:48,-26.5333,153.1,58.1,77,99,10.76,overcast clouds
61,mahebourg,MU,2021-05-30 16:39:49,-20.4081,57.7,75.49,83,20,6.91,few clouds
62,ballina,AU,2021-05-30 16:39:49,-28.8667,153.5667,57.16,77,75,11.5,broken clouds
63,mataura,NZ,2021-05-30 16:39:49,-46.1927,168.8643,49.48,97,100,3.53,overcast clouds
64,hilo,US,2021-05-30 16:39:49,19.7297,-155.09,81.28,85,75,0.0,broken clouds
65,tuktoyaktuk,CA,2021-05-30 16:39:50,69.4541,-133.0374,33.8,69,20,10.36,few clouds
66,hermanus,ZA,2021-05-30 16:39:50,-34.4187,19.2345,58.89,80,79,3.24,broken clouds
67,shimoda,JP,2021-05-30 16:39:50,34.6667,138.95,68.11,78,69,10.76,broken clouds
