City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,hoa binh,VN,85.89,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
10,nuevitas,CU,85.44,few clouds,21.5453,-77.2644,Hotel Caonaba
12,kieta,PG,78.03,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
13,bandarbeyla,SO,79.54,few clouds,9.4942,50.8122,JABIR HOTEL
25,arraial do cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
29,guasdualito,VE,86.0,broken clouds,7.2424,-70.7324,Hotel Cuibas
30,puerto carreno,CO,81.01,broken clouds,6.189,-67.4859,Casa Hotel Victoria
34,puerto ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,boyolangu,ID,75.4,overcast clouds,-8.1181,111.8935,Yos ega cv
39,ode,NG,79.63,moderate rain,7.7899,5.7117,MORALAB HOTEL
43,laguna,US,78.6,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
44,bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
45,butaritari,KI,82.76,light rain,3.0707,172.7902,Isles Sunset Lodge
48,luanda,AO,78.8,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
52,meulaboh,ID,76.37,overcast clouds,4.1363,96.1285,Kost Pria
56,biak,ID,76.08,broken clouds,-0.9131,122.8766,Penginapan Kim
61,mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
68,vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti Beach Resort
69,lata,PT,85.05,broken clouds,40.1629,-8.3327,Casa Maquia
72,san cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
74,le marin,MQ,87.78,scattered clouds,14.4721,-60.8697,Résidence des îles
79,lerum,SE,77.22,clear sky,57.7745,12.2697,Aspenäs Herrgård
81,fomboni,KM,80.62,clear sky,-12.28,43.7425,Pension Paradis
82,baft,IR,78.64,broken clouds,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
83,saint george,US,88.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
84,mao,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
87,cockburn town,TC,80.56,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
91,rangpur,BD,81.84,broken clouds,25.75,89.25,Hotel Shah Amanat
94,san patricio,US,85.86,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
97,bambous virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
101,kudahuvadhoo,MV,83.7,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
102,kirakira,SB,77.31,overcast clouds,-10.4544,161.9205,SanBiz Lodge
106,souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
115,lithakia,GR,76.28,few clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
116,hithadhoo,MV,83.21,broken clouds,-0.6,73.0833,Scoop Guest House
117,gizo,SB,80.94,light rain,-8.103,156.8419,Imagination Island
126,conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
130,basco,PH,84.69,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
132,nirgua,VE,82.0,broken clouds,10.1553,-68.5663,Posada Turistica Iracuy
136,kismayo,SO,78.55,overcast clouds,-0.3582,42.5454,Agan-Hotel
137,vallenar,CL,81.09,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
138,turkistan,KZ,78.6,clear sky,43.0,68.0,
142,ouadda,CF,81.99,broken clouds,8.0777,22.4007,
145,sao joao da barra,BR,86.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
